Fecha Descarga;IdDataset;Nombre;Sector;Número de recursos;Número de descargas;Número de votos;Formatos;Frecuencia de actualización;Fecha de incorporación;Fecha última actualización de metadatos;Fecha última actualización de datos
29/08/2019;;Censo de locales, sus actividades y terrazas de hostelería y restauración ;Economía;;23496;2046;,TXT;Mensual;41710;;
29/08/2019;;Censo de locales, sus actividades y terrazas de hostelería y restauración. Histórico;Economía;;16236;1280;,TXT;Mensual;42446;;
29/08/2019;;Centros Culturales Municipales (incluyen Socioculturales y Juveniles);Cultura y ocio;;6498;996;,CSV,GEO,JSON,RDF,API;Anual;41984;;
29/08/2019;;Centros de Atención para Menores y Familia;Sociedad y bienestar;;5574;1064;,CSV,GEO,JSON,RDF,API;Anual;42446;;
29/08/2019;;Centros de Día;Sociedad y bienestar;;3319;869;,CSV,GEO,JSON,RDF,API;Anual;42446;;
29/08/2019;;Centros de la Escuela Oficial de Idiomas en Madrid;Educación;;3235;1108;,CSV,GEO,JSON,RDF,API;Anual;42446;;
29/08/2019;;Centros de Servicios Sociales Municipales;Sociedad y bienestar;;4097;780;,CSV,GEO,JSON,RDF,API;Anual;42237;;
29/08/2019;;Centros municipales de enseñanzas artísticas;Sociedad y bienestar;;24257;839;,CSV,GEO,JSON,RDF,API;Anual;41834;;
29/08/2019;;Centros Municipales de Mayores;Sociedad y bienestar;;3115;950;,CSV,GEO,JSON,RDF,API;Anual;42471;;
29/08/2019;;Centros Municipales de Mayores. Datos sobre número y perfil de socios y socias;Sociedad y bienestar;;713;17;,XLS;Mensual;42935;;
29/08/2019;;Centros para personas con discapacidad;Sociedad y bienestar;;2674;957;,CSV,GEO,JSON,RDF,API;Anual;41816;;
29/08/2019;;Centros para personas sin hogar;Sociedad y bienestar;;2524;991;,CSV,GEO,JSON,RDF,API;Anual;41976;;
29/08/2019;;Cita previa (Línea Madrid);Sector público;;2774;1355;,TXT;Mensual;42038;;
29/08/2019;;Citas proporcionadas desde los Centros de Servicios Sociales del Ayuntamiento de Madrid;Sociedad y bienestar;;134;3;,XLS;Trimestral;42808;;
29/08/2019;;Colegios Públicos de Madrid;Educación;;16974;1232;,CSV,GEO,JSON,RDF,API;Anual;41908;;
29/08/2019;;Comercios centenarios de Madrid ;Comercio;;153;6;,XLS;Anual;43434;;
29/08/2019;;Concejales del Ayuntamiento de Madrid desde 1979;Sector público;;475;11;,XLS;Sin definir;41834;;
29/08/2019;;Concesiones de quioscos;Comercio;;369;5;,CSV,GEO,XLS;Semestral;42471;;
29/08/2019;;Concesiones de zonas verdes;Medio ambiente;;387;11;,XLS;Trimestral;42038;;
29/08/2019;;Conjunto de datos publicados en datos.madrid.es;Sector público;;5469;306;,CSV,XLS;Mensual;43670;;
29/08/2019;;Consultas urbanísticas comunes y especiales;Urbanismo e infraestructuras;;485;5;,XLS;Mensual;43175;;
29/08/2019;;Contaminación acústica. Datos diarios;Medio ambiente;;38321;779;,TXT;Diaria;42352;;
29/08/2019;;Contaminación acústica. Datos históricos diarios;Medio ambiente;;552;5;,TXT;Mensual;43307;;
29/08/2019;;Contaminación acústica. Datos históricos mensuales;Medio ambiente;;6698;691;,XLS;Mensual;43655;;
29/08/2019;;Contaminación acústica: Estaciones de medida;Medio ambiente;;2178;754;,CSV,GEO,XLS;Semestral;43024;;
29/08/2019;;Contenedores de aceite vegetal usado;Medio ambiente;;15383;35;,CSV,XLS;Trimestral;43614;;
29/08/2019;;Contenedores de papel-cartón, vidrio, envases, orgánica y restos;Medio ambiente;;3695;60;,XLS;Anual;42038;;
29/08/2019;;Contenedores de pilas en marquesinas de autobús;Medio ambiente;;11296;645;,CSV,XLS;Anual;41905;;
29/08/2019;;Contenedores de ropa autorizados del Ayuntamiento de Madrid;Medio ambiente;;114866;1521;,CSV,XLS;Trimestral;42038;;
29/08/2019;;Contenedores de vidrio con publicidad;Medio ambiente;;558;9;,CSV,XLS;Anual;43434;;
29/08/2019;;Contenedores o sacos de residuos de construcción y demolición (RCD) llenos más de 24 horas;Medio ambiente;;685;69;,XLS;Diaria;42808;;
29/08/2019;;Contratos de arrendamiento;Sector público;;43;3;,XLS;Trimestral;43663;;
29/08/2019;;Contratos menores;Hacienda;;1369;6;,XLS;Mensual;42738;;
29/08/2019;;Convenios;Sector público;;226;6;,XLS;Mensual;43445;;
29/08/2019;;Datos de uso de portales madrid.es;Sector público;;388;16;,XLS;Trimestral;43670;;
29/08/2019;;Datos meteorológicos. Datos diarios desde 2019;Medio ambiente;;249;2;,CSV,XML;Mensual;43487;;
29/08/2019;;Datos meteorológicos. Datos horarios desde 2019;Medio ambiente;;403;2;,CSV,XML;Mensual;43245;;
29/08/2019;;Datos meteorológicos. Estaciones de control ;Medio ambiente;;590;4;,CSV,XLS;Anual;43434;;
29/08/2019;;Declaración de bienes y actividades de los concejales del Ayuntamiento de Madrid. Corporación 2015-2019;Sector público;;8098;944;,XLS;Sin definir;42340;;
29/08/2019;;Declaración de bienes y actividades de los concejales del Ayuntamiento de Madrid. Corporación 2019-2023;Sector público;;72;2;,XLS;Sin definir;43670;;
29/08/2019;;Declaración de bienes y actividades de los directivos del Ayuntamiento de Madrid;Sector público;;437;5;,XLS;Anual;43187;;
29/08/2019;;Denuncias y sanciones sobre limpieza urbana y zonas verdes;Medio ambiente;;2238;11;,XLS;Trimestral;43606;;
29/08/2019;;Deportes.  Inscripción de alumnos de Escuelas de promoción deportiva.Temporada en curso ;Deporte;;693;384;,XLS;Mensual;41710;;
29/08/2019;;Deportes. Abonados en Centros Deportivos Municipales;Deporte;;737;85;,XLS;Mensual;42802;;
29/08/2019;;Deportes. Centros Deportivos Municipales (Polideportivos);Deporte;;10899;1243;,CSV,GEO,JSON,RDF,API;Anual;43690;;
29/08/2019;;Deportes. Clases y actividades dirigidas para toda la temporada 2014/2015. Clases;Deporte;;1557;750;,XLS;Sin definir;41908;;
29/08/2019;;Deportes. Clases y actividades dirigidas para toda la temporada 2014/2015. Horarios;Deporte;;228;830;,XLS;Sin definir;41908;;
29/08/2019;;Deportes. Clases y actividades dirigidas para toda la temporada 2015/2016. Horarios;Deporte;;173;438;,XLS;Anual;42334;;
29/08/2019;;Deportes. Competiciones deportivas municipales de deportes colectivos. Temporada en curso (2018 / 2019);Medio ambiente;;110687;1184;,TXT;Semanal;42446;;
29/08/2019;;Deportes. Competiciones deportivas municipales de deportes colectivos. Temporadas anteriores;Deporte;;130;4;,XLS;Anual;42859;;
29/08/2019;;Deportes. Descuentos en instalaciones deportivas;Deporte;;411;61;,XLS;Mensual;42471;;
29/08/2019;;Deportes. Inscripción de alumnos de Escuelas de promoción deportiva. Temporadas anteriores;Deporte;;45;4;,XLS;Sin definir;42471;;
